job_title,company_name,location,salary,avg_salary
Postdoctoral Fellow I - Data Assimilation,UCAR,"Boulder, CO",,0.0
Research Scientist Stf,LOCKHEED MARTIN CORPORATION,"Louisville, CO 80027",,0.0
Data Scientist,Avaya Corporation,"Thornton, CO",,0.0
Associate Scientist II-Space Weather,UCAR,"Boulder, CO",,0.0
Entry - Level Construction Professional,Burns & McDonnell,"Denver, CO",,0.0
Engineer II - Distributed Generation Data Scientist,National Renewable Energy Laboratory,"Golden, CO 80401",,0.0
Aquatic Instrumentation Scientist,Battelle,"Boulder, CO 80301",,0.0
Field Technician,Kelvin Inc.,"Denver, CO",,0.0
Client Services Representative,Autodesk,"Denver, CO",,0.0
Senior Data Scientist,Proofpoint,"Broomfield, CO",,0.0
Shipping / Receiving Coordinator,Phenomenex,"Golden, CO",,0.0
Entry-Level Project Controls Specialist,Burns & McDonnell,"Denver, CO",,0.0
SR DATA SCIENTIST,CenturyLink,"Broomfield, CO 80020",,0.0
Data Scientist,ICR,"Denver, CO",,0.0
Radar Project Scientist I,UCAR,"Boulder, CO",,0.0
Senior Research Analyst,"Yardi Systems, Inc.","Denver, CO",,0.0
PostDoctoral Scientist in Aquatic Ecology,University of Colorado Boulder,"Boulder, CO 80303 (Southeast Boulder area)","$52,000 a year",52000.0
Medicinal Chemistry - Research Scientist,Array BioPharma,"Boulder, CO 80301",,0.0
Market Research Analyst,Penn Schoen Berland,"Denver, CO",,0.0
Associate,Exponent,"Denver, CO",,0.0
Research Associate / Associate Scientist - Medicinal Chemistry,Array BioPharma,"Boulder, CO 80301",,0.0
Arctic Projects - Science Planning Manager,CH2M,"Englewood, CO 80112",,0.0
Senior Data Scientist/Engineer,Oracle,"Broomfield, CO",,0.0
Financial Analyst,"ViewRay, Inc.","Denver, CO",,0.0
Engineer II - Distributed Generation Data Scientist,National Renewable Energy Laboratory,"Golden, CO 80401",,0.0
Statistical Analyst (ADX-112-18),"ArcherDX, INC.","Boulder, CO 80301",,0.0
Business Process Analyst - Mid-level,BOEING,"Aurora, CO 80011 (Norfolk Glen area)",,0.0
Data Architect,Workiva Inc.,"Denver, CO",,0.0
Project Controls Intern,Burns & McDonnell,"Denver, CO",,0.0
"Scientist, Cheese R&D",Leprino Foods,"Denver, CO 80211 (Highland area)",,0.0
Sr. Advertising Research Analyst,Comcast,"Denver, CO 80202 (Lodo area)",,0.0
Account Executive - Denver,Alation Inc.,"Denver, CO",,0.0
Schneider Summer Fellow - Climate & Clean Energy Analysis/Colorado Advocacy,Natural Resources Defense Council,"Denver, CO",,0.0
Global-scale Observations of the Limb and Disk (GOLD) postdoc,University of Colorado Boulder,"Boulder, CO 80303 (Southeast Boulder area)",,0.0
Senior Data Scientist,Xactly Corporation,"Denver, CO 80202 (Lodo area)",,0.0
Panel Shop Technician,Kelvin Inc.,"Louisville, CO 80027",,0.0
Planner-Manufacturing (662977),Ball Aerospace,"Westminster, CO",,0.0
"Computational Scientist, Machine Learning",Inscripta,"Boulder, CO",,0.0
JCSDA Project Scientist I/II - ESRL Liaison,UCAR,"Boulder, CO","$93,000 - $98,000 a year",95500.0
Temporary Field Technician - NEON Project - D10/13 - Colorado,Battelle,"Boulder, CO 80301",,0.0
Statistical Analyst (ADX-112-18),"ArcherDX, INC.","Boulder, CO 80301",,0.0
Unidata Summer Internship,UCAR,"Boulder, CO",,0.0
Scientist,Flagship Biosciences,"Westminster, CO",,0.0
Senior Data Visualization Architect.,Prologis,"Denver, CO 80239",,0.0
Entry - Level Construction Professional,Burns & McDonnell,"Denver, CO",,0.0
"Engineer II, Commercial Analytics Data Strategist – (664918)",Ball Aerospace,"Broomfield, CO",,0.0
Software Engineer,Twitter,"Boulder, CO",,0.0
"Student Trainee (Physical Scientist), ZP-1399-I",US Department of Commerce,"Boulder, CO 80305 (Central Boulder area)","$23,570 - $53,811 a year",38690.5
Technical Intern - Optical Engineer (664539),Ball Aerospace,"Boulder, CO",,0.0
Client Services Representative,Autodesk,"Denver, CO",,0.0
"Associate Scientist: Numerical Weather Prediction - Boulder, CO",ClimaCell,"Boulder, CO",,0.0
Senior Professional Research Assistant,University of Colorado,"Aurora, CO","$60,000 - $70,000 a year",65000.0
Environmental Project Scientist,"Alliance Source Testing, LLC","Arvada, CO",,0.0
Threat Research Analyst,Webroot Software,"Broomfield, CO 80021",,0.0
Advanced Manufacturing Senior Scientist,LOCKHEED MARTIN CORPORATION,"Littleton, CO 80125",,0.0
Aerospace Research Polymerics Technician,University of Colorado Boulder,"Boulder, CO 80303 (Southeast Boulder area)",,0.0
Professional Assistant,University of Colorado Boulder,"Boulder, CO 80303 (Southeast Boulder area)","$27,500 a year",27500.0
"Director, AI and NLP Data Scientist",KPMG,"Denver, CO 80202 (Lodo area)",,0.0
Electronics Technician,Kelvin Inc.,"Louisville, CO 80027",,0.0
Vector-Borne Disease Ecologist,Battelle,"Boulder, CO 80301",,0.0
Staff Environmental Scientist/Engineer - SPCC,"LT Environmental, Inc","Arvada, CO",,0.0
Research Data Analysis,University of California San Francisco,"San Francisco, CA",,0.0
Data Scientist 1,Paypal,"San Francisco, CA 94107 (South Of Market area)",,0.0
Data Scientist,University of California San Francisco,"San Francisco, CA",,0.0
"Summer Intern - Graduate, Data Scientist",Levi Strauss & Co.,"San Francisco, CA 94111 (Financial District area)",,0.0
Data Scientist (San Francisco or Kansas City),RiskIQ,"San Francisco, CA 94103 (South Of Market area)",,0.0
Data Scientist,Esurance,"San Francisco, CA 94105 (Financial District area)",,0.0
Data Scientist,San Francisco Giants,"San Francisco, CA 94107 (South Of Market area)",,0.0
Data Scientist Internship,Walmart Stores,"San Bruno, CA 94066",,0.0
"Data Scientist, Analytics",Slack,"San Francisco, CA",,0.0
Research Data Analyst,University of California San Francisco,"San Francisco, CA",,0.0
Data Scientist Intern - Advertising Technology,Walmart Stores,"San Bruno, CA 94066",,0.0
Data Science Specialist,University of California San Francisco,"San Francisco, CA",,0.0
"Data Scientist, Risk",Square,"San Francisco, CA 94103 (South Of Market area)",,0.0
Data Scientist,Eaze,"San Francisco, CA",,0.0
"Data Scientist, Growth On-boarding",Twitter,"San Francisco, CA 94103 (South Of Market area)",,0.0
Data Science Intern,eHealth,"San Francisco, CA",,0.0
Data Scientist Internship,Walmart eCommerce,"San Bruno, CA 94066",,0.0
Data Scientist Intern - Advertising Technology,Walmart eCommerce,"San Bruno, CA 94066",,0.0
Data Analysis Manager,University of California San Francisco,"San Francisco, CA",,0.0
Data Analyst / Scientist [Full-time or intern)],Plato HQ,"San Francisco, CA",,0.0
Data Analysis Manager,University of California San Francisco,"San Francisco, CA",,0.0
Data Scientist - Operations,Kelvin Inc.,"San Francisco, CA",,0.0
"Assistant/Associate Clipper Program Coordinator, Data Analysis",Metropolitan Transportation Commission,"San Francisco, CA 94105 (Financial District area)","$85,587 - $125,144 a year",105365.5
Data Scientist,Branch International,"San Francisco, CA",,0.0
Data Scientist Internship,Walmart eCommerce,"San Bruno, CA 94066",,0.0
Operations Manager,University of California San Francisco,"San Francisco, CA",,0.0
"Associate Scientist 1, Fermentation","Amyris, Inc.","Emeryville, CA",,0.0
Data Analyst / Scientist [Full-time or intern)],Plato HQ,"San Francisco, CA",,0.0
Data Scientist,non,"San Francisco, CA",,0.0
"Summer Intern - Graduate, Data Scientist",Levi Strauss & Co.,"San Francisco, CA 94111 (Financial District area)",,0.0
Data Scientist,Twitter,"San Francisco, CA 94103 (South Of Market area)",,0.0
Data Science Internship – Summer 2019,Walmart Stores,"San Bruno, CA 94066",,0.0
Data Analyst / Scientist [Full-time or intern)],Plato HQ,"San Francisco, CA",,0.0
Data Analyst,Glu Mobile,"San Francisco, CA",,0.0
Data Journalist,Mother Jones,"San Francisco, CA 94108 (Financial District area)",,0.0
Data Scientist - Risk,Eventbrite,"San Francisco, CA 94107 (South Of Market area)",,0.0
Data Scientist,Sony Interactive Entertainment PlayStation,"San Francisco, CA",,0.0
Data Scientist Intern - Advertising Technology,Walmart Stores,"San Bruno, CA 94066",,0.0
Quantitative Research Assistant,University of California San Francisco,"San Francisco, CA",,0.0
Data Scientist,Plaid,"San Francisco, CA",,0.0
"Data Scientist, Analyst (Invest & Advice Products)",SoFi,"San Francisco, CA","$115,000 - $169,000 a year (Indeed est.)",142000.0
Data Scientist,Tonal,"San Francisco, CA 94103 (South Of Market area)","$102,000 - $150,000 a year (Indeed est.)",126000.0
Freshman Diversity Leadership Intern (Stanford),McKinsey & Company,"San Francisco, CA 94104 (Financial District area)",,0.0
Date Scientist,IDEASVOICE,"San Francisco, CA",,0.0
"Data Scientist, Insights",CircleUp,"San Francisco, CA","$116,000 - $171,000 a year (Indeed est.)",143500.0
Senior Data Scientist,Faire,"San Francisco, CA",,0.0
Research Data Analyst,University of California San Francisco,"San Francisco, CA",,0.0
Data Scientist,Quantcast,"San Francisco, CA 94103 (South Of Market area)","$120,000 - $177,000 a year (Indeed est.)",148500.0
Data Science Specialist,University of California San Francisco,"San Francisco, CA","$85,000 - $126,000 a year (Indeed est.)",105500.0
"Data Scientist, Seller Modeling",Square,"San Francisco, CA 94103 (South Of Market area)","$112,000 - $164,000 a year (Indeed est.)",138000.0
Data Scientist,non,"San Francisco, CA",,0.0
Data Scientist,Rally Health,"San Francisco, CA",,0.0
Research Assistant,University of California San Francisco,"San Francisco, CA",,0.0
Data Science Internship – Summer 2019,Walmart eCommerce,"San Bruno, CA 94066",,0.0
"Analyst, Strategy and Research",Deloitte,"San Francisco, CA",,0.0
Sr. Data Scientist,Twitter,"San Francisco, CA 94103 (South Of Market area)",,0.0
"Data Scientist, Analyst (Invest & Advice Products)",SoFi,"San Francisco, CA",,0.0
Data Scientist,Twitter,"San Francisco, CA 94103 (South Of Market area)",,0.0
Data Scientist,Sony Interactive Entertainment PlayStation,"San Francisco, CA",,0.0
Data Scientist,BitTorrent Inc.,"San Francisco, CA 94107 (South Of Market area)",,0.0
"Data Scientist, Artificial Intelligence",OpenText,"San Francisco, CA",,0.0
Data Scientist,Quantcast,"San Francisco, CA 94103 (South Of Market area)",,0.0
"Data Scientist, Product analytics",StubHub,"San Francisco, CA 94105 (Financial District area)",,0.0
"Data Scientist, Point of Sale & Customers",Square,"San Francisco, CA 94103 (South Of Market area)",,0.0
Intern - Research and Early Development - Biomedical Imaging,Genentech,"South San Francisco, CA 94080",,0.0
"Data Scientist, Insights",CircleUp,"San Francisco, CA",,0.0
Data Scientist (Predictive Services),Opendoor,"San Francisco, CA",,0.0
Data Scientist,Branch International,"San Francisco, CA",,0.0
Data Scientist - Maps,Uber,"San Francisco, CA 94103 (South Of Market area)",,0.0
Science Intern,Dolby,"San Francisco, CA",,0.0
"Data Scientist, Artificial Intelligence",OpenText,"San Francisco, CA",,0.0
"Data Scientist, Analyst (Money & Member Products)",SoFi,"San Francisco, CA",,0.0
Data Scientist - Statistician,Kelvin Inc.,"San Francisco, CA",,0.0
Data Scientist - Operations,Kelvin Inc.,"San Francisco, CA",,0.0
Data Scientist,Brightidea,"San Francisco, CA 94107 (South Of Market area)",,0.0
"Data Scientist, Insights",CircleUp,"San Francisco, CA",,0.0
"Data Scientist, Digital","Williams-Sonoma, Inc.","San Francisco, CA 94133 (Russian Hill area)",,0.0
Senior Data Analyst,Blue Owl,"San Francisco, CA","$100,000 - $140,000 a year",120000.0
Staff Data Scientist,Keep Truckin,"San Francisco, CA",,0.0
Machine Learning,Twitter,"San Francisco, CA 94103 (South Of Market area)",,0.0
Staff Data Scientist,Lyric,"San Francisco, CA 94114 (Castro-Upper Market area)",,0.0
"Data Scientist, Engineering",Google,"San Francisco, CA 94105 (Financial District area)",,0.0
Machine Learning Researcher SAN FRANCISCOMEMBER OF TECHNICAL STAFFFULL-TIME,OpenAI,"San Francisco, CA",,0.0
"Data Scientist, Work Environment Analytics",Genentech,"South San Francisco, CA",,0.0
Quantitative Advertising Analyst,N3TWORK,"San Francisco, CA",,0.0
"Data Solutions Consultant, Emerging Products",Google,"San Francisco, CA 94105 (Financial District area)",,0.0
Data Analyst,NinthDecimal,"San Francisco, CA",,0.0
Data Scientist,ThirdLove,"San Francisco, CA",,0.0
"Data Scientist, Product analytics",eBay Inc.,"San Francisco, CA",,0.0
Intern - Research and Early Development - Biomedical Imaging,Genentech,"South San Francisco, CA 94080",,0.0
Data Scientist/Informatics Analyst-Development Sciences Informatics,Genentech,"South San Francisco, CA 94080",,0.0
Assistant Staff Scientist,Children's Hospital & Research Center Oakland,"Oakland, CA",,0.0
"Data Scientist, Digital","Williams-Sonoma, Inc.","San Francisco, CA 94133 (Russian Hill area)",,0.0
Data Scientist - Maps,Uber,"San Francisco, CA 94103 (South Of Market area)",,0.0
Staff Data Scientist,Lyric,"San Francisco, CA 94114 (Castro-Upper Market area)",,0.0
"Data Scientist, Product analytics",eBay Inc.,"San Francisco, CA",,0.0
Data Scientist - CA,Bind Benefits,"San Francisco, CA 94103 (South Of Market area)",,0.0
Data Analyst/Statistician,CareDx,"Brisbane, CA 94005",,0.0
Data Science Intern,eHealth,"San Francisco, CA",,0.0
"Data Scientist, Finance",Snowflake Computing,"San Mateo, CA",,0.0
Data Analysis Associate,Care Resource,"Miami, FL 33137 (Upper Eastside area)",,0.0
Data Scientist,TracFone Wireless,"Miami, FL",,0.0
"Data Scientist, NSW",NOKIA,"Pembroke Pines, FL",,0.0
KHE Business Data Analyst,Kaplan,"Fort Lauderdale, FL 33328",,0.0
\: Market Research Data Analyst II,Beckman Coulter - Diagnostics,"Miami, FL",,0.0
Research Analyst,NBCUniversal,"Miami, FL",,0.0
Data Modeling and Analysis Professional,Cable & Wireless Communications Inc,"Coral Gables, FL",,0.0
Data Scientist,Boxy Charm,"Pembroke Pines, FL",,0.0
Data Scientist,BoxyCharm,"Pembroke Pines, FL",,0.0
Data Analyst,Boxy Charm,"Pembroke Pines, FL",,0.0
Coordinator Statistical Research I,Florida International University,"Miami, FL","$40,000 - $45,000 a year",42500.0
Data Analyst,BoxyCharm,"Pembroke Pines, FL",,0.0
Data & Analytics Consultant (MIA),Systems Evolution Inc.,"Miami, FL",,0.0
Quality Control Technician,Beckman Coulter - Diagnostics,"Miami, FL",,0.0
DATA SCIENTIST,Ultimate Software,"Fort Lauderdale, FL",,0.0
"Adjunct/Lecturer, Dept of Math and Statistical Sciences",Florida International University,"Miami, FL",,0.0
Research Analyst,CBRE,"Miami, FL",,0.0
Senior Analyst Cybercrime Research,Q6Cyber,"Miami, FL",,0.0
Data Engineer,Boxy Charm,"Pembroke Pines, FL",,0.0
Market Research Analyst,BRAND INSTITUTE INC,"Miami, FL 33131 (Downtown area)",,0.0
Analyst II Procurement,Beckman Coulter - Diagnostics,"Miami, FL",,0.0
"IRB Analyst -Research & Investigational Studies, FT-Days, MHS",Memorial Healthcare System,"Hollywood, FL 33024",,0.0
Assistant Research Scientist (Temporary),Nova Southeastern University,"Fort Lauderdale, FL 33314",,0.0
Postgraduate Research Opportunity in Biological Sciences,non,"Miami, FL",,0.0
Senior Human Resources Representative,Beckman Coulter - Diagnostics,"Miami, FL",,0.0
Data Engineer,Boxy Charm,"Pembroke Pines, FL",,0.0
Market Research Analyst,BRAND INSTITUTE INC,"Miami, FL 33131 (Downtown area)",,0.0
Senior Scientist,"Oasis Systems, Inc.","Fort Lauderdale, FL",,0.0
Technical Services Scientist III,"Aveva Drug Delivery Systems, Inc.","Miramar, FL 33025",,0.0
Data & Analytics Consultant (MIA),Systems Evolution Inc.,"Miami, FL",,0.0
Sr Operations Manager (Miami) - JUMP Bikes or Scooters,Uber,"Miami, FL 33130 (Little Havana area)",,0.0
"Director, Data Science",Zimmerman Advertising,"Fort Lauderdale, FL",,0.0
"IRB Analyst -Research & Investigational Studies, FT-Days, MHS",Memorial Healthcare System,"Hollywood, FL 33024",,0.0
Associate Specialist Technical Customer Support,Beckman Coulter - Diagnostics,"Miami, FL",,0.0
Associate Specialist Customer Technical Support,Beckman Coulter - Diagnostics,"Miami, FL",,0.0
Analyst II Procurement,Beckman Coulter - Diagnostics,"Miami, FL",,0.0
Assistant Research Scientist (Temporary),Nova Southeastern University,"Fort Lauderdale, FL 33314",,0.0
Surgery/ Research Asst. Professor,University of Miami UMFaculty,"Miami, FL",,0.0
Senior Military Systems Specialist I,Scientific Research Corporation,"Doral, FL 33172",,0.0
Senior Technician Production Operations,Beckman Coulter - Diagnostics,"Miami, FL",,0.0
"Summer 2019 Machine Learning Intern, CBSSports.com (Masters/Graduate or PhD)",CBS Interactive,"Fort Lauderdale, FL",,0.0
Simulator Flight Instructor,BOEING,"Miami, FL",,0.0
Senior Scientist,"Oasis Systems, Inc.","Fort Lauderdale, FL",,0.0
Technical Services Scientist III,"Aveva Drug Delivery Systems, Inc.","Miramar, FL 33025",,0.0
"Director, Campaign Optimization & Insights",MasterCard,"Miami, FL 33132 (Downtown area)",,0.0
Environmental/GIS Scientist,Atkins,"Fort Lauderdale, FL",,0.0
Senior Human Resources Representative,Beckman Coulter - Diagnostics,"Miami, FL",,0.0
Field Service Technician – Industrial Weighing Products,Mettler Toledo,"Miami, FL",,0.0
Radiation-Oncology/ Research Asst Professor,University of Miami UMFaculty,"Miami, FL",,0.0
"Lab Solutions Specialist - Lab Equipment Sales (Bilingual Opportunity) - Latin America, Caribbean, USA",Abbott Laboratories,"Miami, FL",,0.0
Mechanical Engineer,"Magic Leap, Inc.","Plantation, FL",,0.0
Librarian - Research & Competitive Intelligence Analyst,Bilzin Sumberg Baena Price & Axelrod,"Miami, FL 33131 (Downtown area)",,0.0
Operations Research Systems Analyst,DCS Corp,"Miami, FL",,0.0
Physician/Attending,Nicklaus Children's Health System,"Miami, FL",,0.0
Senior Military Systems Specialist I,Scientific Research Corporation,"Doral, FL 33172",,0.0
"Director, Campaign Optimization & Insights",MasterCard,"Miami, FL 33132 (Downtown area)",,0.0
Industrial Designer,Motorola Solutions,"Plantation, FL",,0.0
Functional Analyst - Team Lead,Scientific Research Corporation,"Doral, FL 33172",,0.0
Surgery/ Research Asst. Professor,University of Miami UMFaculty,"Miami, FL",,0.0
"Physician/Attending - Pool / Per Diem - Pediatic Urgent Care - Naples, FL",Nicklaus Children's Health System,"Miami, FL 33155",,0.0
"MANAGER, QUALITY ANALYTICS",EVPS,"Plantation, FL",,0.0
Landscape Architect Intern,Atkins,"Fort Lauderdale, FL",,0.0
Physician/Attending - Director of EP,Nicklaus Children's Health System,"Miami, FL 33155",,0.0
Attending Physician - Physiatry/PM&R,Nicklaus Children's Health System,"Miami, FL 33155",,0.0
Physician/Attending-Palliative Care,Nicklaus Children's Health System,"Miami, FL 33155",,0.0
Lead Sustaining Process Engineer,"Magic Leap, Inc.","Plantation, FL",,0.0
"Lab Solutions Specialist - Lab Equipment Sales (Bilingual Opportunity) - Latin America, Caribbean, USA",Abbott Laboratories,"Miami, FL",,0.0
Radiation-Oncology/ Research Asst Professor,University of Miami UMFaculty,"Miami, FL",,0.0
Physician/Attending - Ophthalmology,Nicklaus Children's Health System,"Miami, FL",,0.0
Reliability Test Engineer,"Magic Leap, Inc.","Fort Lauderdale, FL",,0.0
"Physician/Attending - Pool / Per Diem - Pediatic Urgent Care - Naples, FL",Nicklaus Children's Health System,"Miami, FL 33155",,0.0
Physician/Attending - Cardiology,Nicklaus Children's Health System,"Miami, FL 33155",,0.0
"Attending Physician - Pediatric Urgent Care - Part Time w/Benefits. Naples, FL",Nicklaus Children's Health System,"Miami, FL 33155",,0.0
"Senior, Cost Accountant","Magic Leap, Inc.","Plantation, FL",,0.0
Physician/Attending-Palliative Care,Nicklaus Children's Health System,"Miami, FL 33155",,0.0
Reliability Test Engineer,"Magic Leap, Inc.","Fort Lauderdale, FL",,0.0
Physician/Attending - Pediatric Radiology,Nicklaus Children's Health System,"Miami, FL 33155",,0.0
"Senior Software Developer In Test, SDET - Contractor","Magic Leap, Inc.","Plantation, FL",,0.0
Physician/Attending - Pediatric Emergency Medicine (PEM FELLOWSHIP REQUIRED) - VARIABLE SHIFTS AND WORK HOURS,Nicklaus Children's Health System,"Miami, FL",,0.0
"Senior Test Engineer, Embedded OS and Power Management – Contractor","Magic Leap, Inc.","Plantation, FL",,0.0
Sr. Data Scientist,"Ample Insight, Inc.","Miami, FL",,0.0
Customer Facing Data Scientist,DataRobot,"Miami, FL",,0.0
Senior Data Scientist - Remote,Adaxa Technologies,"Fort Lauderdale, FL",,0.0
Data Scientist,Chewy,"Fort Lauderdale, FL 33316 (Harbordale area)",,0.0
"Data Scientist, Merchandising",Chewy,"Fort Lauderdale, FL 33316 (Harbordale area)",,0.0
Sr. Data Scientist,Pandera Systems,"Miami, FL",,0.0
Data Analyst - Guest Experience,LMS,"Doral, FL",,0.0
Solution Advisor | Professional Services Consultant,Wyzoo,"Fort Lauderdale, FL","$60,000 - $100,000 a year",80000.0
Senior Designer,Skyscanner,"Miami, FL",,0.0
Postdoctoral Researcher - Atmospheric Chemistry,University of Miami,"Miami, FL 33149",,0.0
Senior Statistical Programmer,Biorasi,"Aventura, FL",,0.0
"Senior Manager, Inventory Optimization",Chewy,"Fort Lauderdale, FL 33316 (Harbordale area)",,0.0
Sr. Regulatory Analyst - Clinical Research,UHealth,"Miami, FL 33136 (Overtown area)",,0.0
Senior Sererless API Engineer - Based in Fort Lauderdale,Univers,"Miami, FL",,0.0
Postdoctoral Researcher - Atmospheric Chemistry,University of Miami,"Miami, FL 33149",,0.0
Senior Serverless API Engineer,Univers,"Fort Lauderdale, FL",,0.0
Data Scientist,comScore,"Portland, OR",,0.0
Associate Data Scientist,comScore,"Portland, OR",,0.0
Data Analyst,CoStar Group,"Portland, OR 97227 (Boise area)",,0.0
"Data Scientist, TV Analytics",comScore,"Portland, OR",,0.0
Application Scientist,M.D. Parkin & Associates,"Hillsboro, OR",,0.0
Senior Wetlands Scientist,"Parametrix, Inc.","Portland, OR 97232 (Kerns area)",,0.0
New Business Development Research Scientist,Fujimi Corporation,"Tualatin, OR 97062",,0.0
Data Scientist,Slalom Consulting,"Portland, OR 97204 (Downtown area)",,0.0
"Data Scientist, Personalization",NIKE INC,"Portland, OR","$132,000 - $195,000 a year (Indeed est.)",163500.0
Human Resources Intern,CDK Global,"Portland, OR 97201 (Homestead area)",,0.0
Senior Data Scientist,NIKE INC,"Portland, OR",,0.0
Research Scientist,Intel,"Hillsboro, OR 97124",,0.0
Data Scientist,Simple,"Portland, OR","$96,000 - $142,000 a year (Indeed est.)",119000.0
Data Scientist - Deep Learning,Cambia Health,"Portland, OR",,0.0
Managing Scientist,Anchor Env,"Portland, OR",,0.0
Bioinformatics Scientist,Providence Health & Services,"Portland, OR 97240 (Hosford area)",,0.0
Research Scientist Internship,Intel,"Hillsboro, OR 97124",,0.0
Lead Data Scientist,NIKE INC,"Beaverton, OR 97006 (Triple Creek area)",,0.0
Research Analyst I,Moses Lake Industries,"Milwaukie, OR",,0.0
RET Design Engineer / Data Scientist,Intel,"Hillsboro, OR 97124",,0.0
Climate Advisor - Portland,Natural Resources Defense Council,"Portland, OR",,0.0
Scientist (Project Facilitator),Oregon Health & Science University,"Portland, OR",,0.0
"Analytics Business Partner, Market Intelligence",Autodesk,"Portland, OR",,0.0
Quantitative Model Validation Analyst,First Technology Federal Credit Union,"Hillsboro, OR",,0.0
Bioinformatics Scientist,Providence Health & Services,"Portland, OR 97240 (Hosford area)",,0.0
Software Engineer Intern - Portland,CDK Global,"Portland, OR 97201 (Homestead area)",,0.0
Sr. Data Science Engineer,Aroghia Group,"Beaverton, OR 97006 (Triple Creek area)",,0.0
"Analytics Business Partner, Market Intelligence",Autodesk,"Portland, OR",,0.0
Statistical Analyst (Research Associate),Oregon Health & Science University,"Portland, OR","$41,812 - $65,073 a year",53442.5
Software Engineering Intern,McAfee,"Hillsboro, OR",,0.0
Biostatistician I (Research Associate),Oregon Health & Science University,"Portland, OR","$60,000 - $75,000 a year",67500.0
"Sr Director, Enterprise Analytics",Columbia Sportswear,"Portland, OR 97229",,0.0
Machine Learning Intern,Intel,"Hillsboro, OR 97124",,0.0
Temporary Field Technician - NEON Project - D16 - Washington,Battelle,"Vancouver, WA 98683 (Bella Vista area)",,0.0
Research Scientist - Machine Learning,Intel,"Hillsboro, OR 97124",,0.0
Statistical Analyst (Research Associate),Oregon Health & Science University,"Portland, OR","$41,812 - $65,073 a year",53442.5
Energy Policy Analyst-Engineer-Scientist,Pacific Northwest National Laboratory,"Portland, OR",,0.0
Accountable Health Consulting Research Associate or Analyst,Cambia Health,"Portland, OR",,0.0
Quantitative Model Validation Analyst,First Tech Federal Credit Union,"Hillsboro, OR 97124",,0.0
Jr. Environmental Professional,AECOM,"Portland, OR",,0.0
Human Capital Senior Consultant - Data Scientist,Deloitte,"Portland, OR 97204 (Downtown area)",,0.0
IT Data Warehouse Architect,Avamere Health Services,"Wilsonville, OR 97070",,0.0
Climate Advisor - Portland,Natural Resources Defense Council,"Portland, OR",,0.0
Associate Research Member,Providence Health & Services,"Portland, OR 97240 (Hosford area)",,0.0
"Solutions Architect, Machine Learning, Google Cloud",Google,"Portland, OR",,0.0
Assistant Research Member,Providence Health & Services,"Portland, OR 97240 (Hosford area)",,0.0
Human Resources Intern,CDK Global,"Portland, OR 97201 (Homestead area)",,0.0
Statistical Programmer II,BIOTRONIK,"Lake Oswego, OR 97035",,0.0
Postdoctoral Scholars,Oregon Health & Science University,"Portland, OR",,0.0
Software Development Engineering Intern,McAfee,"Hillsboro, OR",,0.0
Lead Temporary Field Technician - NEON Project - D16 - Washington,Battelle,"Vancouver, WA 98683 (Bella Vista area)",,0.0
Consulting Research Associate or Consulting Research Analyst,Cambia Health,"Portland, OR",,0.0
Scientist (Project Facilitator),Oregon Health & Science University,"Portland, OR",,0.0
Environmental Database Manager,"GSI Water Solutions, Inc.","Portland, OR",,0.0
"Intern, Core Architecture (Jan-May 2019)",Ampere Computing,"Portland, OR",,0.0
Senior Research Associate,Oregon Health & Science University,"Portland, OR",,0.0
Accountable Health Consulting Research Associate or Analyst,Cambia Health,"Portland, OR",,0.0
Post-Award Analyst (Research Accounts Receivable and Collections),Oregon Health & Science University,"Portland, OR","$41,600 - $64,050 a year",52825.0
Accountable Health Consulting Research Associate or Analyst,Cambia Health,"Portland, OR",,0.0
Scientist (Project Facilitator),Oregon Health & Science University,"Portland, OR",,0.0
Sr. Business Systems Analyst (BSA) - Data & Analytics,Aroghia Group,"Beaverton, OR",,0.0
Senior Manager Research Analyst (Alternatives) (21774),RVK,"Portland, OR 97204 (Downtown area)",,0.0
Territory Sales Manager - Portland,JUUL Labs,"Portland, OR",,0.0
"Intern, Core Architecture (Jan-May 2019)",Ampere Computing,"Portland, OR",,0.0
Jr. Environmental Professional,AECOM,"Portland, OR",,0.0
Growth Director,Quest Analytics,"Kansas City, OR",,0.0
Post-Award Analyst (Research Accounts Receivable and Collections),Oregon Health & Science University,"Portland, OR","$41,600 - $64,050 a year",52825.0
Lead Machine Learning & Advanced Analytics Engineer,NIKE INC,"Beaverton, OR 97006 (Triple Creek area)",,0.0
Energy Policy Analyst-Engineer-Scientist,Pacific Northwest National Laboratory,"Portland, OR",,0.0
Senior Director - Applied Footwear Research,NIKE INC,"Portland, OR 97204 (Downtown area)",,0.0
"Physical Design Engineer (Processor and Chip-level), Principal to Sr. Principal",Ampere Computing,"Portland, OR",,0.0
Statistical Programmer II,BIOTRONIK SE & Co. KG,"Lake Oswego, OR",,0.0
Database Administrator,DAT Solutions,"Beaverton, OR 97008 (Greenway area)",,0.0
Assay Researcher (Sr. Research Assistant),Oregon Health & Science University,"Portland, OR","$35,034 - $54,068 a year",44551.0
Human Capital Senior Consultant - Data Scientist,Deloitte,"Portland, OR 97204 (Downtown area)",,0.0
Business Systems Analyst IV,CDK Global,"Portland, OR 97201 (Homestead area)",,0.0
