job_title,company_name,location,salary,avg_salary
Senior Data Scientist,Fox Networks Group,"Playa Vista, CA",,0.0
Research Scientist,California Institute of Technology,"Pasadena, CA 91125",,0.0
Head of Engagement,"TrueCar, Inc.","Santa Monica, CA 90401",,0.0
"Associate, Battery Specialist",Exponent,"Los Angeles, CA 90066",,0.0
Information Security Data Scientist,Creative Arts Agency (CAA),"Los Angeles, CA",,0.0
Revenue Strategy Associate Manager - Unpublished R&D Product,Riot Games,"Santa Monica, CA 90404",,0.0
Specimen Processor - Santa Fe Springs,"Physicians Automated Laboratory, Inc.","Santa Fe Springs, CA",,0.0
Analyst,Riot Games,"Los Angeles, CA 90064",,0.0
Data Scientist - Science Center,Ipsos North America,"Culver City, CA",,0.0
Data Scientist,Internet Brands,"Los Angeles, CA",,0.0
"Researcher - League of Legends, Monetization Products",Riot Games,"Santa Monica, CA 90404",,0.0
Supply Chain Specialist,BOEING,"Seal Beach, CA 90740",,0.0
Receptionist,"Scientific Applications & Research Associates, Inc","Cypress, CA 90630",,0.0
Remote Sensing/NWP Scientist,The Aerospace Corporation,"El Segundo, CA 90245",,0.0
Scientist I - Second Shift,"Eurofins Eaton Analytical, Inc.","Monrovia, CA",,0.0
Inventory Supervisor,Chef'd,"Pico Rivera, CA",,0.0
Data Engineer,VideoAmp,"Santa Monica, CA",,0.0
Experienced Procurement Agent,BOEING,"El Segundo, CA",,0.0
Students Seeking Data Scientist Full Time Employment,ExxonMobil,"Houston, TX 77046 (Montrose area)",,0.0
Students Seeking Data Scientist Internship Opportunities,ExxonMobil,"Houston, TX 77046 (Montrose area)",,0.0
"Staff Data Scientist-Houston, TX",Baker Hughes,"Houston, TX",,0.0
Data Scientist/Machine Learning,Cybernetic Search,"Houston, TX",,0.0
Sr Data Scientist-LPB,General Electric,"Houston, TX 77002 (Downtown area)",,0.0
Data Scientist,Hewlett Packard Enterprise,"Houston, TX 77070",,0.0
Data Scientist,Kelvin Inc.,"Houston, TX",,0.0
Data Scientist,Rice University,"Houston, TX 77017 (Pasadena area)",,0.0
Data Scientist,CGG,"Houston, TX",,0.0
Image Data Scientist,Jacobs,"Houston, TX",,0.0
Data Scientist - Statistician,Kelvin Inc.,"Houston, TX",,0.0
Data Scientist,CGG,"Houston, TX",,0.0
Research Data Scientist,ExxonMobil,"Houston, TX 77046 (Montrose area)",,0.0
Image Data Scientist,Jacobs,"Houston, TX",,0.0
Intern Environmental Planning/Scientist- Part Time,HNTB,"Houston, TX 77092 (Northwest area)",,0.0
"Analyst, Strategy and Research",Deloitte,"Houston, TX",,0.0
Data Scientist,Rice University,"Houston, TX 77017 (Pasadena area)",,0.0
